Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;11.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;79;100;24;24;0;79;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;11.01.2022;Totalt i retning Vervarslinga i Nord-Norge;120;100;24;24;0;120;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;11.01.2022;Totalt;199;100;24;24;0;199;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;12.01.2022;1;41;100;24;24;0;41;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;12.01.2022;2;76;100;24;24;0;76;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;12.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;41;100;24;24;0;41;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;12.01.2022;Totalt i retning Vervarslinga i Nord-Norge;76;100;24;24;0;76;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;12.01.2022;Totalt;117;100;24;24;0;117;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;13.01.2022;1;32;100;24;24;0;32;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;13.01.2022;2;79;100;24;24;0;79;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;13.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;32;100;24;24;0;32;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;13.01.2022;Totalt i retning Vervarslinga i Nord-Norge;79;100;24;24;0;79;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;13.01.2022;Totalt;111;100;24;24;0;111;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;14.01.2022;1;39;100;24;24;0;39;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;14.01.2022;2;67;100;24;24;0;67;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;14.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;39;100;24;24;0;39;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;14.01.2022;Totalt i retning Vervarslinga i Nord-Norge;67;100;24;24;0;67;0;-;-;-;-;-;-;-;-
